iata_code,latitude,longitude,country
NBO,-1.319239974,36.9277992249,KE
NOU,-22.0146007538,166.2129974365,NC
NQN,-38.9490013123,-68.1557006836,AR
NRT,35.7647018433,140.3860015869,JP
NVT,-26.8799991608,-48.6514015198,BR
OKC,35.3931007385,-97.6007003784,US
OMA,41.3031997681,-95.8940963745,US
ORD,41.97859955,-87.90480042,US
ORF,36.8945999146,-76.2012023926,US
ORK,51.8413009644,-8.491109848,IE
ORN,35.6239013672,-0.6211829782,DZ
OSL,60.193901062,11.100399971,NO
OTP,44.5722007751,26.1021995544,RO
OUA,12.3531999588,-1.5124200583,BF
PAT,25.591299057,85.0879974365,IN
PBH,27.4032001495,89.4245986938,BT
PBM,5.4528298378,-55.1878013611,SR
PDX,45.58869934,-122.5979996,US
PER,-31.9402999878,115.9670028687,AU
PHL,39.8718986511,-75.2410964966,US
PHX,33.434299469,-112.0120010376,US
PIT,40.49150085,-80.23290253,US
PMO,38.1759986877,13.0909996033,IT
PMW,-10.2915000916,-48.3569984436,BR
PNH,11.5466003418,104.84400177,KH
POA,-29.9944000244,-51.1713981628,BR
POS,10.5953998566,-61.3372001648,TT
PPT,-17.5536994934,-149.606994629,PF
PRG,50.1007995605,14.2600002289,CZ
PTY,9.0713596344,-79.3834991455,PA
QRO,20.6173000336,-100.185997009,MX
RAO,-21.1363887787,-47.7766685486,BR
REC,-8.1264896393,-34.9235992432,BR
RIC,37.5051994324,-77.3197021484,US
RIX,56.9235992432,23.9710998535,LV
RUH,24.9575996399,46.6987991333,SA
RUN,-20.8871002197,55.5102996826,RE
SCL,-33.3930015564,-70.7857971191,CL
SDQ,18.4297008514,-69.6688995361,DO
SEA,47.4490013123,-122.3089981079,US
SGN,10.8187999725,106.652000427,VN
SIN,1.3501900434,103.9940032959,SG
SJC,37.3625984192,-121.9290008545,US
SJK,-23.2292003632,-45.8614997864,BR
SJO,9.9938602448,-84.2088012695,CR
SJP,-20.8166007996,-49.40650177,BR
SJU,18.4393997192,-66.0018005371,PR
SKG,40.5196990967,22.9708995819,GR
SLC,40.7883987427,-111.9779968262,US
SMF,38.695400238,-121.591003418,US
SOD,-23.4780006409,-47.4900016785,BR
SOF,42.6966934204,23.4114360809,BG
STI,19.4060993195,-70.6046981812,DO
STL,38.7486991882,-90.3700027466,US
STR,48.6898994446,9.2219600677,DE
SVX,56.7430992126,60.8027000427,RU
SYD,-33.9460983276,151.1770019531,AU
TBS,41.6692008972,44.95470047,GE
TGU,14.0608997345,-87.2172012329,HN
TIA,41.4146995544,19.7206001282,AL
TLH,30.3964996338,-84.3503036499,US
TLL,59.4132995605,24.8327999115,EE
TLV,32.0113983154,34.8866996765,IL
TNR,-18.7968997955,47.4788017273,MG
TPA,27.9755001068,-82.533203125,US
TPE,25.0776996613,121.233001709,TW
TUN,36.8510017395,10.2271995544,TN
TXL,52.5597000122,13.2876996994,DE
UDI,-18.8836116791,-48.225276947,BR
UIO,-0.1291666667,-78.3575,EC
ULN,47.8431015015,106.766998291,MN
URT,9.1325998306,99.135597229,TH
VCP,-23.0074005127,-47.1344985962,BR
VIE,48.1102981567,16.5697002411,AT
VIX,-20.2580566406,-40.2863883972,BR
VNO,54.6341018677,25.2858009338,LT
VTE,17.9883003235,102.56300354,LA
WAW,52.1656990051,20.9671001434,PL
YHZ,44.8807983398,-63.5085983276,CA
YOW,45.3224983215,-75.6691970825,CA
YUL,45.4706001282,-73.7407989502,CA
YVR,49.193901062,-123.1839981079,CA
YYC,51.113899231,-114.0199966431,CA
YYZ,43.6772003174,-79.6305999756,CA
ZAG,45.7429008484,16.0687999725,HR
ZRH,47.4646987915,8.5491695404,CH
SSA,-12.9086112976,-38.3224983215,BR
